step,timestamp,gene_MCM2,gene_MCM5,gene_PCNA,gene_DNA_POL_ALPHA,gene_CDC45,gene_CCND1,gene_CDK2,gene_RB1,gene_TP53,gene_ATM,gene_ATR,gene_CHEK1,gene_STAT1,gene_IRF7,gene_IFNB1,gene_BAX,gene_BCL2,gene_HSPA1A,gene_FKBP1A,gene_MTOR,gene_viral_LT,gene_viral_ST,gene_viral_VP1,gene_viral_VP2,gene_viral_VP3,protein_MCM2,protein_PCNA,protein_RB1,protein_p53,protein_STAT1,protein_mTOR,protein_LT,protein_ST,protein_VP1,metabolite_atp,metabolite_dATP,metabolite_dCTP,metabolite_dGTP,metabolite_dTTP,metabolite_amino_acids,pathway_dna_replication,pathway_cell_cycle,pathway_dna_damage_response,pathway_innate_immune,pathway_apoptosis,pathway_mTOR_signaling,pathway_viral_replication,pathway_cellular_stress,pathway_interferon_response,pathway_nucleotide_synthesis
0,0.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,1.0,0.9,0.9,0.8,0.7,0.5,0.3,0.5,0.6,0.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,1.2,1.0,0.7,1.0,0.0,0.0,0.0,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,0.0,0.3,0.4,0.7
1,1.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,0.99,0.891,0.891,0.792,0.6859999999999999,0.49,0.294,0.504,0.603,0.7,1.0,1.0,0.12800000000000003,0.0,0.0,0.0,0.0,1.0,1.2,1.2,0.99,0.6859999999999999,1.0,0.12800000000000003,0.0,0.0,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,0.0,0.3,0.4,0.7
2,2.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,0.9801,0.88209,0.88209,0.78408,0.67228,0.4802,0.28812,0.5091600000000001,0.60717,0.7,1.0,1.0,0.21184000000000003,0.0,0.0,0.0,0.0,1.0,1.2,1.2,0.9801,0.67228,1.0,0.21184000000000003,0.0,0.0,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,0.0,0.3,0.4,0.7
3,3.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,0.970299,0.8732691,0.8732691,0.7762392,0.6588344,0.470596,0.2823576,0.5153484,0.6123783,0.7,1.0,1.0,0.298304,0.0,0.0,0.0,0.0,1.0,1.2,1.2,0.970299,0.6588344,1.0,0.298304,0.0,0.0,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,0.0,0.3,0.4,0.7
4,4.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,0.9605960100000001,0.8645364090000001,0.8645364090000001,0.7684768080000001,0.645657712,0.46118408,0.276710448,0.522446916,0.618506517,0.7,1.0,1.0,0.3876544,0.0,0.0,0.0,0.0,1.0,1.2,1.2,0.9605960100000001,0.645657712,1.0,0.3876544,0.0,0.0,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,0.0,0.3,0.4,0.7
5,5.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,0.9509900499,0.85589104491,0.85589104491,0.7607920399200001,0.63274455776,0.4519603984,0.27117623904,0.5303492468400001,0.6254482518300001,0.7,1.0,1.0,0.48514181632,0.0,0.0,0.0,0.0,1.0,1.2,1.2,0.9509900499,0.63274455776,1.0,0.48514181632,0.0,0.0,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,0.0,0.3,0.4,0.7
6,6.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,0.9712158640854337,0.8770678491453336,0.8770678491453336,0.7829198342052338,0.6676668100998939,0.4904983339270939,0.31332985775429384,0.5389598743716001,0.6331078893117,0.7,1.0,1.0,0.5932050903544515,0.0003773008335554413,0.0003773008335554413,0.0003773008335554413,0.0003773008335554413,1.0,1.2,1.2,0.9712158640854337,0.6676668100998939,1.0,0.5932050903544515,0.0003773008335554413,0.0003773008335554413,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,0.007546016671108826,0.3,0.4,0.7
7,7.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,0.9973763456387473,0.9041698108480483,0.9041698108480483,0.8109632760573494,0.7117096982085648,0.5380845915592208,0.36445948490987673,0.548192983627884,0.641399518418583,0.7,1.0,1.0,0.7140130530020912,0.0008599377203171051,0.0008599377203171051,0.0008599377203171051,0.0008599377203171051,1.0,1.2,1.2,0.9973763456387473,0.7117096982085648,1.0,0.7140130530020912,0.0008599377203171051,0.0008599377203171051,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,0.009652737735233273,0.3,0.4,0.7
8,8.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,1.0302242767662804,0.9379498073234882,0.9379498073234882,0.8456753378806964,0.7659902155786662,0.5958376110623091,0.42568500654595187,0.5579714909916053,0.6502459604343972,0.7,1.0,1.0,0.850437661844356,0.0014990574585130993,0.0014990574585130993,0.0014990574585130993,0.0014990574585130993,1.0,1.2,1.2,1.0302242767662804,0.7659902155786662,1.0,0.850437661844356,0.0014990574585130993,0.0014990574585130993,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,0.012782394763919883,0.3,0.4,0.7
9,9.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,1.0706908487602036,0.9793391240118393,0.9793391240118393,0.8879873992634755,0.8319005148856305,0.6651509624596006,0.49840141003357047,0.5682261695616893,0.6595778943100532,0.7,1.0,1.0,1.005868984202941,0.0023768277571949554,0.0023768277571949554,0.0023768277571949554,0.0023768277571949554,1.0,1.2,1.2,1.0706908487602036,0.8319005148856305,1.0,1.005868984202941,0.0023768277571949554,0.0023768277571949554,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,0.017555405973637122,0.3,0.4,0.7
10,10.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,1.1199254676630244,1.0294872601621436,1.0294872601621436,0.9390490526612635,0.9111689484125943,0.7477543870350849,0.5843398256575754,0.5788948619980724,0.6693330694989527,0.7,1.0,1.0,1.1843292805531351,0.003625316813829902,0.003625316813829902,0.003625316813829902,0.003625316813829902,1.0,1.2,1.2,1.1199254676630244,0.9111689484125943,1.0,1.1843292805531351,0.003625316813829902,0.003625316813829902,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,0.02496978113269893,0.3,0.4,0.7
11,11.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,1.1793486458086644,1.0898148203827924,1.0898148203827924,1.0002809949569211,1.0059414619599747,0.8457951918100155,0.6856489216600562,0.5899217720968917,0.6794555975227632,0.7,1.0,1.0,1.3906187036562518,0.005457488197287912,0.005457488197287912,0.005457488197287912,0.005457488197287912,1.0,1.2,1.2,1.1793486458086644,1.0059414619599747,1.0,1.3906187036562518,0.005457488197287912,0.005457488197287912,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,0.0366434276691602,0.3,0.4,0.7
12,12.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,1.2507239522378037,1.1620854650661905,1.1620854650661905,1.0734469778945779,1.1188927013403367,0.9619493565933767,0.8050060118464165,0.6012568272228428,0.6898953143944555,0.7,1.0,1.0,1.6305050346654912,0.008217705769756674,0.008217705769756674,0.008217705769756674,0.008217705769756674,1.0,1.2,1.2,1.2507239522378037,1.1188927013403367,1.0,1.6305050346654912,0.008217705769756674,0.008217705769756674,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,0.05520435144937522,0.3,0.4,0.7
13,13.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,1.3362581983232658,1.2485060960233687,1.2485060960233687,1.1607539937234723,1.2533812242860742,1.0995767464340533,0.9457722685820324,0.6128551045128424,0.7006072068127389,0.7,1.0,1.0,1.9109759743330783,0.012463434455931042,0.012463434455931042,0.012463434455931042,0.012463434455931042,1.0,1.2,1.2,1.3362581983232658,1.2533812242860742,1.0,1.9109759743330783,0.012463434455931042,0.012463434455931042,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,0.08491457372348736,0.3,0.4,0.7
14,14.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,1.438750142875046,1.351875561598148,1.351875561598148,1.2650009803212505,1.4136808422563734,1.2629524539613928,1.1122240656664122,0.6246763144737192,0.7115508957506167,0.7,1.0,1.0,2.240606375977477,0.019121038680694806,0.019121038680694806,0.019121038680694806,0.019121038680694806,1.0,1.2,1.2,1.438750142875046,1.4136808422563734,1.0,2.240606375977477,0.019121038680694806,0.019121038680694806,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,0.1331520844952753,0.3,0.4,0.7
