step,timestamp,gene_dnaA,gene_rpoB,gene_gyrA,gene_ftsZ,gene_groEL,gene_atpD,gene_tufA,protein_DnaA,protein_RpoB,protein_GyrA,protein_FtsZ,protein_GroEL,protein_AtpD,protein_TufA,metabolite_glucose,metabolite_atp,metabolite_adp,metabolite_nadh,metabolite_amino_acids,pathway_glycolysis,pathway_translation,pathway_replication
0,0.0,2.0,1.5,1.0,1.0,0.8,1.2,1.5,2.0,1.5,1.0,1.0,0.8,1.2,1.5,5.0,3.0,1.0,0.5,2.0,2.0,1.5,1.0
1,0.5,2.08,1.56375,1.045,1.045,0.8368000000000001,1.2528,1.56375,1.952,1.46409375,0.976125,0.976125,0.7809200000000001,1.17132,1.46409375,4.9,2.95,1.0,0.5125,1.975,4.6067079885473365,3.1939288684981832,3.1204795204795204
2,1.0,2.1623680000000003,1.6297109296875,1.091789875,1.091789875,0.8751388288000002,1.3075924608,1.6297109296875,1.9084592,1.4316318357421876,0.954613496875,0.954613496875,0.7637524707200001,1.1454438115199999,1.4316318357421876,4.8025,2.90125,1.0,0.5246875,1.950625,4.598536685978811,3.1884339755402675,3.1165224966711143
3,1.5,2.2471072231628804,1.6979166876001606,1.1404193430942373,1.1404193430942373,0.9150664303916329,1.364423093622295,1.6979166876001606,1.869213920579072,1.4024981611450822,0.9353933056086059,0.9353933056086059,0.7484415079437909,1.1222821982845572,1.4024981611450822,4.7074375,2.85371875,1.0,0.5365703125,1.926859375,4.590929164556485,3.1835844951046988,3.113196618366177
4,2.0,2.3342151299590705,1.768397916590013,1.1909375288584316,1.1909375288584316,0.9566330190510661,1.4233359964113605,1.768397916590013,1.8341086027990952,1.3765832010025785,0.9183970785496364,0.9183970785496364,0.7349352580228781,1.1017514882806134,1.3765832010025785,4.6147515625,2.80737578125,1.0,0.5481560546875,1.903687890625,4.583940602632107,3.1794479302264755,3.1105683702871123
5,2.5,2.423683085092375,1.841181656462514,1.243392744313136,1.243392744313136,0.9998889363379256,1.484373369438527,1.841181656462514,1.8029952497864499,1.3537835823640123,0.9035620432299829,0.9035620432299829,0.7231857185301823,1.083773248102546,1.3537835823640123,4.5243827734375,2.76219138671875,1.0,0.5594521533203125,1.881095693359375,4.5776218116083935,3.176089015544382,3.108701987058593
6,3.0,2.515496040862179,1.9162909898251697,1.29783225394574,1.29783225394574,1.044884493729767,1.547575216410962,1.9162909898251697,1.7757328883186818,1.334001677991441,0.8908297474171273,0.8908297474171273,0.7131485449469174,1.0682739661076928,1.334001677991441,4.436273204101562,2.718136602050781,1.0,0.5704658494873047,1.8590683010253906,4.5720181956413555,3.1735686277992095,3.107658407012142
7,3.5,2.6096322412473216,1.9937446835280026,1.3543020238461176,1.3543020238461176,1.0916698003900709,1.612979031979263,1.9937446835280026,1.7521870499339307,1.317145211180069,0.8801458106424238,0.8801458106424238,0.7047828627093233,1.0551847436017896,1.317145211180069,4.350366373999023,2.6751831869995115,1.0,0.5812042032501221,1.8375915934997558,4.567168798956751,3.171942741943173,3.107494259920149
8,4.0,2.7060629511369,2.073556828388922,1.412846455179455,1.412846455179455,1.140294575644156,1.6806194767902023,2.073556828388922,1.7322292712156566,1.3031268713307886,0.871459681489789,0.871459681489789,0.6980510839649611,1.0444409933414551,1.3031268713307886,4.2666072146490475,2.6333036073245237,1.0,0.5916740981688691,1.8166518036622619,4.56310547864933,3.1712614706391196,3.1082609240545955
9,4.5,2.8047522152161664,2.1557364802055763,1.473508102408862,1.473508102408862,1.1908079458301464,1.7505280415008795,2.1557364802055763,1.715736613035278,1.2918639397693885,0.8647243999755211,0.8647243999755211,0.6929187284124667,1.0359821447119044,1.2918639397693885,4.184942034282821,2.5924710171414107,1.0,0.6018822457146473,1.7962355085707054,4.559852236826482,3.171568222797665,3.1100036861842613
10,5.0,2.9056566510331745,2.2402873053554093,1.5363273768899823,1.5363273768899823,1.2432582253023927,1.822732701455519,2.2402873053554093,1.7025911986593434,1.2832779254148043,0.8598963643989946,0.8598963643989946,0.6893542476244032,1.029751355012697,1.2832779254148043,4.105318483425751,2.5526592417128753,1.0,0.6118351895717812,1.7763296208564376,4.557424739716837,3.1728990124457805,3.112761034286819
11,5.5,3.0087252807163667,2.327207234570497,1.601342236689573,1.601342236689573,1.297692681493602,1.8972575640235183,2.327207234570497,1.6926797707442853,1.2772942100083267,0.8569351020962842,0.8569351020962842,0.6873288522805231,1.0256952263626502,1.2772942100083267,4.027685521340107,2.5138427606700535,1.0,0.6215393098324866,1.7569213803350268,4.555830043256377,3.175281942869761,3.1165641070707566
