step,timestamp,gene_ACE2,gene_TMPRSS2,gene_IFNB1,gene_ISG15,gene_MX1,gene_IL6,gene_TNF,gene_viral_spike,gene_viral_rep,gene_viral_nuc,protein_ACE2,protein_TMPRSS2,protein_IFNB1,protein_IL6,protein_TNF,protein_Spike,protein_Rep,protein_Nuc,metabolite_atp,metabolite_nucleotides,metabolite_amino_acids,pathway_viral_entry,pathway_viral_replication,pathway_interferon_response,pathway_inflammatory_response
0,0.0,1.0,0.8,0.5,0.3,0.3,0.2,0.2,0.0,0.0,0.0,1.0,0.8,0.5,0.2,0.2,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.5,0.2
1,1.0,1.0630833204599592,0.8514068514227877,0.5332014994613995,0.3204385639798185,0.32029740167027043,0.21364961343712402,0.21376074332661388,0.0,0.0002377159762826283,7.927371904804466e-05,0.9681582856617716,0.7745232731361031,0.4841383926236731,0.19368840128046164,0.19362893217641183,9.097383378203935e-05,0.00010114601873316301,0.0,2.930023247603129,1.965028279977539,1.9649862281305288,8.013773732391904e-05,0.0,3.043890559954225,2.3572014018059297
2,2.0,1.1296258431600525,0.9058180994787359,0.5684927678207912,0.3422706589577231,0.34193947298177413,0.22816590444249515,0.2284120463599707,0.0,0.0005453031493423334,6.104071967673666e-05,0.940905945334189,0.7528284769140495,0.4706459097656791,0.18831390391782094,0.18820694252607634,0.0001882927822385022,0.0003250736238805158,3.0520359838368333e-06,2.8625414714474156,1.9312465702469337,1.93122300310708,0.0004807832823714364,0.00015251908365545642,3.793676364608712,2.983260300686419
3,3.0,1.1998049836540883,0.9633688452797453,0.6059822636490836,0.3655297222691956,0.36499616404141877,0.24365344115984466,0.24404359175291887,0.0,0.0008744197385897428,4.7001328069301014e-05,0.9180720880137376,0.734713684996751,0.45944300647376846,0.18387225384135197,0.18372629987541136,0.00027879940430301266,0.0005451683185340289,4.2728490732822555e-06,2.7974215574571524,1.8986472203568998,1.8986414909594518,0.0010845776445172677,0.0002495791013886803,4.00719480875288,3.1532367412396294
4,4.0,1.2737523218098434,1.0241951315678386,0.6457878108478075,0.39030168059531933,0.38955272629916526,0.2601739542113358,0.2607176488411002,0.0,0.001226571218303989,3.61910071494879e-05,0.899481280506095,0.7200449816410529,0.4504522413348033,0.18033523187205017,0.18015853188380782,0.0003629705628230074,0.0007625272097087971,4.501445273642215e-06,2.734580840456548,1.8671888477130172,1.8672003317369907,0.001728973910221295,0.00028986557053325794,4.06196671469759,3.189970892803162
5,5.0,1.351595582786898,1.0884329849477972,0.6880309546009656,0.41667661203617834,0.41569854402733886,0.2777926387670049,0.2784999750012633,0.0,0.001603368122528712,2.786706633658269e-05,0.8849747825005038,0.7087025858949302,0.4436059037352429,0.17767892797261056,0.17747951310330196,0.00044124974024660246,0.000978228551516854,4.22926383922373e-06,2.6739395485509654,1.8368315181116703,1.8368596130873156,0.002361316681406462,0.00028815400627095,4.071379691483752,3.1904736531560953
6,6.0,1.4334573125376948,1.156217513197987,0.7328367055318983,0.4447488006979006,0.44352719132590923,0.29657828339564857,0.2974599441870284,0.0,0.0020065333458624862,2.1457635643154968e-05,0.874409176928188,0.7005798164628462,0.4388454501579009,0.17588356730922888,0.1756692892043173,0.0005140493752505458,0.0011933371070016647,3.7373180008686986e-06,2.615420701862078,1.8075366950463705,1.807580819590379,0.002962319812322671,0.0002629379686488801,4.0695416805301825,3.183957208983447
7,7.0,1.5194534386388363,1.2276818903999667,0.780333217730596,0.4746167678890135,0.4731364663058065,0.3166033936520959,0.31767066993955684,0.0,0.0024379099471225026,1.6522376222218434e-05,0.8676550441047295,0.6955820918273541,0.43612096767694375,0.17493335273567662,0.17471191772810152,0.0005817530358042133,0.0014089094153155331,3.180629151658202e-06,2.5589500148073014,1.7792671907883562,1.7793267838658355,0.003523218805620317,0.00022750449592870824,4.0667335172624455,3.1792412321542503
8,8.0,1.6096917213697925,1.3029562268027528,0.8306513937271701,0.50638327571903,0.5046283983101765,0.33794430841166373,0.3392091208417536,0.0,0.0028994694898688248,1.2722227780185782e-05,0.8645956728239437,0.6936259590784561,0.43539066008650185,0.1748163222664047,0.17459532391404275,0.0006447174401191239,0.0016259989901658465,2.639907754553956e-06,2.504455801799442,1.7519871191793723,1.752061639391651,0.004039003205743415,0.00018985679739182585,4.066043077105658,3.178973440029859
9,9.0,1.7042701030923302,1.3821663220190978,0.8839244093930546,0.5401552984781819,0.538109223622423,0.36068130667739057,0.36215622609524734,0.0,0.0033933209559785025,9.796114257757494e-06,0.8651258023779754,0.6946381453367565,0.43662035217073647,0.17552422012187463,0.1753111701661098,0.0007032743361319908,0.001845661474940927,2.152947598256867e-06,2.451868886246858,1.725661850076703,1.725750774974063,0.004506445251612783,0.0001542677620383275,4.068355886593402,3.1838961965644836
10,10.0,1.8032749675103101,1.4654323022112687,0.9402871517902112,0.5760439567586516,0.5736893246933618,0.3848987022759276,0.38659696858542447,0.0,0.003921720270789345,7.543007306726287e-06,0.8691503903582859,0.6985546261383392,0.4397830076939442,0.17705237993340264,0.1768547377262386,0.0007577322494239571,0.002068959779530649,1.7335073522381401e-06,2.401122512738614,1.700257965392627,1.7003607908110907,0.004923536684028118,0.00012269264000623107,4.073854612124049,3.194128615184806
11,11.0,1.906779324268464,1.5528671443824087,0.9998755631910625,0.6141644088632454,0.611483127506229,0.41068492352417196,0.41262046246177475,0.0,0.004487080480797542,5.808115227900526e-06,0.8765834020516126,0.7053197056894855,0.4448582567646126,0.17939961868655785,0.17922481911362326,0.0008083781087854856,0.0022969692235773375,1.3825153933050544e-06,2.352152262303159,1.675743216672494,1.6758594560938223,0.005289316891917905,9.575357346443585e-05,4.082472944850318,3.209554864220368
12,12.0,2.0148409385186303,1.6445750937553614,1.0628258848916592,0.6546356936481876,0.6516089512982933,0.43813257459201893,0.44032001190001047,0.0,0.005091982627496799,4.472248489343988e-06,0.8873466182875425,0.7148851045081323,0.4518319283143513,0.18256813996166085,0.18242361986765754,0.0008554787579917072,0.002530782710725598,1.0945971222493837e-06,2.304895970632945,1.6520864841575653,1.6522156680916582,0.0056037894660938324,7.33609416060205e-05,4.0940372058591326,3.229945665428698
13,13.0,2.1275004294537974,1.7406499834881342,1.129273795073194,0.6975805185760884,0.6941888044844913,0.4673384749090551,0.4697931473310605,0.0,0.005739187363694143,3.4436311967878245e-06,0.901368459719963,0.727209050655518,0.4606955835391761,0.18656344499734073,0.18645666809888836,0.0008992823617534932,0.002771515958382858,8.617777468565029e-07,2.259293649171188,1.6292577372806594,1.62939941266957,0.005867840486120293,5.508424368762561e-05,4.108315252796678,3.255000800899335
14,14.0,2.244779366265858,1.8411734696200837,1.1993534358689333,0.7431249864294517,0.7393481202977062,0.49840367256780205,0.5011416350234867,0.0,0.006431647361533682,2.651595938516454e-06,0.9185828267286897,0.7422553715331925,0.47144604628532716,0.19139425005870486,0.1913327303070886,0.0009400197132519543,0.0030203128075531266,6.754997774454194e-07,2.2152874089605925,1.6072279965444451,1.6073817261872547,0.006083138211921871,4.036356653798101e-05,4.125038109574875,3.2839184232238807
15,15.0,2.3666783943735545,1.9462131981197603,1.2731963260011332,0.7913982538736383,0.7872154253908332,0.53143342726777,0.5344714554948593,0.0,0.007172520564508676,2.0417288234409424e-06,0.9389279554000096,0.7599925840824345,0.4840849265339215,0.1970724085358907,0.19706373186889709,0.0009779054501455231,0.003278350637462633,5.276513009626613e-07,2.1728213871573683,1.5859692967339982,1.5861346587318206,0.006252014502370566,2.8623859711169106e-05,4.143913503390173,3.3164277453746926
