parameter,perturbation,perturbation_value,infection_peak,tacrolimus_peak,sirolimus_peak,infection_pct_change,tacrolimus_pct_change,sirolimus_pct_change
tacrolimus_enhancement_factor,-40%,0.8999999999999999,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
tacrolimus_enhancement_factor,-20%,1.2000000000000002,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
tacrolimus_enhancement_factor,0%,1.5,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
tacrolimus_enhancement_factor,+20%,1.7999999999999998,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
tacrolimus_enhancement_factor,+40%,2.0999999999999996,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
mtor_inhibition_factor,-40%,0.3,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
mtor_inhibition_factor,-20%,0.4,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
mtor_inhibition_factor,0%,0.5,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
mtor_inhibition_factor,+20%,0.6,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
mtor_inhibition_factor,+40%,0.7,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
t_antigen_replication_threshold,-40%,0.3,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
t_antigen_replication_threshold,-20%,0.4,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
t_antigen_replication_threshold,0%,0.5,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
t_antigen_replication_threshold,+20%,0.6,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
t_antigen_replication_threshold,+40%,0.7,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
cell_cycle_s_phase_bonus,-40%,1.2,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
cell_cycle_s_phase_bonus,-20%,1.6,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
cell_cycle_s_phase_bonus,0%,2.0,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
cell_cycle_s_phase_bonus,+20%,2.4,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
cell_cycle_s_phase_bonus,+40%,2.8,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
dna_replication_coupling,-40%,0.48,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
dna_replication_coupling,-20%,0.6400000000000001,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
dna_replication_coupling,0%,0.8,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
dna_replication_coupling,+20%,0.96,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
dna_replication_coupling,+40%,1.1199999999999999,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
innate_immune_suppression_factor,-40%,0.3,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
innate_immune_suppression_factor,-20%,0.4,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
innate_immune_suppression_factor,0%,0.5,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
innate_immune_suppression_factor,+20%,0.6,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
innate_immune_suppression_factor,+40%,0.7,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
dna_damage_response_enhancement,-40%,0.78,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
dna_damage_response_enhancement,-20%,1.04,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
dna_damage_response_enhancement,0%,1.3,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
dna_damage_response_enhancement,+20%,1.56,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
dna_damage_response_enhancement,+40%,1.8199999999999998,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
translation_enhancement_factor,-40%,1.2,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
translation_enhancement_factor,-20%,1.6,276576.2209157249,3763050.619375907,101729.15644126713,0.0,0.0,0.0
